num_expediente,dia_hora,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona
2021S022355,2021-11-26 15:00:00,9.0,MONCLOA-ARAVACA,Alcance,Despejado,Turismo,Conductor
2021S022355,2021-11-26 15:00:00,9.0,MONCLOA-ARAVACA,Alcance,Despejado,Turismo,Conductor
2021S022356,2021-11-26 15:00:00,15.0,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022356,2021-11-26 15:00:00,15.0,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022358,2021-11-26 19:00:00,12.0,USERA,Colisión lateral,Despejado,Autobús,Conductor
2021S022358,2021-11-26 19:00:00,12.0,USERA,Colisión lateral,Despejado,Turismo,Conductor
2021S022359,2021-11-26 18:00:00,7.0,CHAMBERÍ,Alcance,Despejado,Furgoneta,Conductor
2021S022359,2021-11-26 18:00:00,7.0,CHAMBERÍ,Alcance,Despejado,Turismo,Conductor
2021S022360,2021-11-25 20:00:00,14.0,MORATALAZ,Colisión fronto-lateral,Despejado,Furgoneta,Conductor
2021S022360,2021-11-25 20:00:00,14.0,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022361,2021-11-26 18:00:00,15.0,CIUDAD LINEAL,Atropello a persona,Despejado,Turismo,Conductor
2021S022361,2021-11-26 18:00:00,15.0,CIUDAD LINEAL,Atropello a persona,Despejado,Turismo,Peatón
2021S022362,2021-11-26 19:00:00,4.0,SALAMANCA,Alcance,Despejado,Furgoneta,Conductor
2021S022362,2021-11-26 19:00:00,4.0,SALAMANCA,Alcance,Despejado,Motocicleta hasta 125cc,Conductor
2021S022363,2021-11-26 15:00:00,7.0,CHAMBERÍ,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022363,2021-11-26 15:00:00,7.0,CHAMBERÍ,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022364,2021-11-25 23:00:00,14.0,MORATALAZ,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022364,2021-11-25 23:00:00,14.0,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022366,2021-11-26 19:00:00,17.0,VILLAVERDE,Colisión fronto-lateral,Despejado,Furgoneta,Conductor
2021S022366,2021-11-26 19:00:00,17.0,VILLAVERDE,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022367,2021-11-26 19:00:00,8.0,FUENCARRAL-EL PARDO,Alcance,Despejado,Turismo,Conductor
2021S022367,2021-11-26 19:00:00,8.0,FUENCARRAL-EL PARDO,Alcance,Despejado,Turismo,Conductor
2021S022367,2021-11-26 19:00:00,8.0,FUENCARRAL-EL PARDO,Alcance,Despejado,Turismo,Pasajero
2021S022368,2021-11-26 15:00:00,4.0,SALAMANCA,Colisión lateral,Despejado,Camión rígido,Conductor
2021S022368,2021-11-26 15:00:00,4.0,SALAMANCA,Colisión lateral,Despejado,Turismo,Conductor
2021S022369,2021-11-26 19:00:00,1.0,CENTRO,Atropello a persona,Despejado,Patinete,Conductor
2021S022369,2021-11-26 19:00:00,1.0,CENTRO,Atropello a persona,Despejado,Patinete,Peatón
2021S022370,2021-11-26 20:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor
2021S022370,2021-11-26 20:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022371,2021-11-26 20:00:00,10.0,LATINA,Alcance,Despejado,Turismo,Conductor
2021S022371,2021-11-26 20:00:00,10.0,LATINA,Alcance,Despejado,Turismo,Conductor
2021S022372,2021-11-26 21:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Conductor
2021S022372,2021-11-26 21:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Conductor
2021S022372,2021-11-26 21:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Pasajero
2021S022372,2021-11-26 21:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Pasajero
2021S022372,2021-11-26 21:00:00,2.0,ARGANZUELA,Colisión lateral,Despejado,Turismo,Pasajero
2021S022373,2021-11-26 21:00:00,4.0,SALAMANCA,Alcance,Despejado,Turismo,Conductor
2021S022373,2021-11-26 21:00:00,4.0,SALAMANCA,Alcance,Despejado,Turismo,Conductor
2021S022373,2021-11-26 21:00:00,4.0,SALAMANCA,Alcance,Despejado,Turismo,Pasajero
2021S022374,2021-11-26 21:00:00,1.0,CENTRO,Atropello a persona,Despejado,Turismo,Conductor
2021S022374,2021-11-26 21:00:00,1.0,CENTRO,Atropello a persona,Despejado,Turismo,Peatón
2021S022375,2021-11-26 22:00:00,1.0,CENTRO,Colisión lateral,Nublado,Motocicleta hasta 125cc,Conductor
2021S022375,2021-11-26 22:00:00,1.0,CENTRO,Colisión lateral,Nublado,Turismo,Conductor
2021S022375,2021-11-26 22:00:00,1.0,CENTRO,Colisión lateral,Nublado,Turismo,Pasajero
2021S022377,2021-11-26 22:00:00,20.0,SAN BLAS-CANILLEJAS,Colisión lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022377,2021-11-26 22:00:00,20.0,SAN BLAS-CANILLEJAS,Colisión lateral,Despejado,Turismo,Conductor
2021S022378,2021-11-27 00:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Camión rígido,Conductor
2021S022378,2021-11-27 00:00:00,1.0,CENTRO,Colisión fronto-lateral,Despejado,Turismo,Conductor
